round,supplier,retailer,final_price,final_volume
1,Supplier1,Retailer4,110.0,1500.0
1,Supplier3,Retailer4,110.0,2000.0
1,Supplier2,Retailer7,110.0,1000.0
1,Supplier2,Retailer10,110.0,1800.0
2,Supplier1,Retailer1,111.0,1600.0
2,Supplier2,Retailer1,110.0,1200.0
2,Supplier2,Retailer2,110.0,2000.0
2,Supplier1,Retailer3,113.0,2000.0
2,Supplier1,Retailer5,111.0,1600.0
2,Supplier3,Retailer5,110.0,1500.0
2,Supplier1,Retailer6,112.0,1150.0
2,Supplier3,Retailer6,112.0,1000.0
2,Supplier1,Retailer7,110.0,1725.0
2,Supplier3,Retailer7,110.0,1725.0
3,Supplier2,Retailer4,110.0,2000.0
3,Supplier2,Retailer8,110.0,1640.0
3,Supplier3,Retailer8,110.0,1640.0
5,Supplier3,Retailer1,112.0,1648.0
1,Supplier2,Retailer2,110.0,1500.0
1,Supplier2,Retailer6,110.0,1800.0
1,Supplier2,Retailer9,112.0,1800.0
1,Supplier3,Retailer9,108.0,1800.0
2,Supplier2,Retailer1,110.0,1800.0
2,Supplier3,Retailer2,110.0,2200.0
2,Supplier2,Retailer3,107.0,1700.0
2,Supplier1,Retailer4,112.0,1200.0
2,Supplier2,Retailer4,110.0,1155.0
2,Supplier3,Retailer5,110.0,1400.0
2,Supplier3,Retailer6,110.0,2400.0
2,Supplier1,Retailer7,109.0,2000.0
2,Supplier3,Retailer7,109.0,1790.0
4,Supplier1,Retailer2,110.0,1800.0
4,Supplier1,Retailer6,110.0,2000.0
4,Supplier1,Retailer10,113.0,2185.0
1,Supplier1,Retailer4,110.0,2500.0
1,Supplier2,Retailer9,110.0,1500.0
1,Supplier2,Retailer10,113.0,1500.0
2,Supplier3,Retailer2,112.0,1850.0
2,Supplier3,Retailer3,108.0,2000.0
2,Supplier2,Retailer4,112.0,2200.0
2,Supplier3,Retailer4,109.0,2200.0
2,Supplier2,Retailer5,111.0,1800.0
2,Supplier3,Retailer5,112.0,1800.0
2,Supplier2,Retailer7,111.0,1300.0
2,Supplier3,Retailer7,110.0,1200.0
2,Supplier2,Retailer8,110.0,1200.0
2,Supplier3,Retailer8,110.0,200.0
2,Supplier3,Retailer9,108.0,250.0
3,Supplier2,Retailer1,110.0,150.0
3,Supplier1,Retailer3,108.0,2000.0
3,Supplier1,Retailer7,110.0,1300.0
3,Supplier1,Retailer8,110.0,200.0
3,Supplier1,Retailer10,113.0,1100.0
4,Supplier1,Retailer2,112.0,1850.0
5,Supplier1,Retailer5,111.0,548.0
1,Supplier2,Retailer2,110.0,1200.0
1,Supplier3,Retailer2,110.0,1800.0
1,Supplier1,Retailer5,110.0,1800.0
1,Supplier2,Retailer7,112.0,2200.0
2,Supplier1,Retailer4,112.0,2100.0
2,Supplier2,Retailer5,110.0,1500.0
2,Supplier2,Retailer6,113.0,1700.0
2,Supplier1,Retailer7,111.5,2200.0
2,Supplier1,Retailer8,112.0,1000.0
2,Supplier2,Retailer8,112.0,1200.0
2,Supplier1,Retailer9,112.0,2200.0
2,Supplier2,Retailer9,110.0,1870.0
2,Supplier1,Retailer10,110.0,290.0
3,Supplier3,Retailer4,112.0,2050.0
3,Supplier3,Retailer5,110.0,1500.0
4,Supplier3,Retailer9,114.0,2200.0
6,Supplier3,Retailer10,110.25,1736.0
2,Supplier2,Retailer6,108.0,2000.0
2,Supplier3,Retailer6,108.0,2000.0
2,Supplier1,Retailer7,113.0,2500.0
2,Supplier3,Retailer8,113.0,1800.0
2,Supplier1,Retailer9,108.0,1800.0
2,Supplier2,Retailer9,108.0,1600.0
3,Supplier2,Retailer4,107.0,1800.0
3,Supplier1,Retailer6,108.0,2000.0
3,Supplier2,Retailer7,113.0,2300.0
3,Supplier3,Retailer7,113.0,2300.0
3,Supplier2,Retailer8,112.0,1800.0
3,Supplier1,Retailer10,112.0,1400.0
4,Supplier1,Retailer4,108.0,1710.0
5,Supplier3,Retailer1,110.0,1800.0
5,Supplier3,Retailer3,114.0,1430.0
1,Supplier3,Retailer1,112.0,1800.0
2,Supplier3,Retailer2,110.0,1400.0
2,Supplier1,Retailer3,112.0,3500.0
2,Supplier3,Retailer3,112.0,3500.0
2,Supplier3,Retailer6,110.0,1500.0
2,Supplier2,Retailer7,110.0,2000.0
2,Supplier3,Retailer7,109.0,1390.0
2,Supplier1,Retailer9,112.0,1800.0
2,Supplier1,Retailer10,108.0,4200.0
3,Supplier2,Retailer3,111.0,2600.0
3,Supplier2,Retailer6,110.0,1500.0
3,Supplier2,Retailer8,110.0,2000.0
4,Supplier2,Retailer9,111.0,1330.0
2,Supplier3,Retailer2,110.0,1800.0
2,Supplier3,Retailer3,110.0,1600.0
2,Supplier3,Retailer4,110.0,2500.0
2,Supplier3,Retailer5,110.0,2500.0
2,Supplier2,Retailer6,107.0,2600.0
2,Supplier2,Retailer7,112.0,1500.0
2,Supplier3,Retailer7,112.0,1100.0
2,Supplier2,Retailer8,113.0,2200.0
3,Supplier2,Retailer3,110.0,1600.0
3,Supplier1,Retailer5,111.0,1950.0
3,Supplier1,Retailer7,112.0,1100.0
3,Supplier1,Retailer8,113.0,2200.0
4,Supplier2,Retailer4,110.0,1520.0
4,Supplier1,Retailer9,113.0,1500.0
5,Supplier1,Retailer1,110.0,1500.0
8,Supplier1,Retailer10,111.0,935.0
2,Supplier3,Retailer1,112.0,1500.0
2,Supplier3,Retailer2,107.0,3400.0
2,Supplier3,Retailer4,110.0,1200.0
2,Supplier2,Retailer6,112.0,2000.0
2,Supplier3,Retailer6,112.0,2200.0
2,Supplier3,Retailer7,110.0,1000.0
2,Supplier2,Retailer8,112.0,1900.0
2,Supplier3,Retailer8,111.0,200.0
2,Supplier1,Retailer10,112.0,1200.0
2,Supplier2,Retailer10,112.0,1800.0
3,Supplier1,Retailer8,112.0,1500.0
