round,supplier,retailer,final_price,final_volume
1,Supplier3,Retailer5,50.0,1000.0
1,Supplier2,Retailer7,52.0,1200.0
2,Supplier2,Retailer2,100.0,2200.0
2,Supplier3,Retailer3,54.0,1200.0
2,Supplier1,Retailer4,40.0,9500.0
2,Supplier3,Retailer6,58.0,1300.0
2,Supplier2,Retailer9,45.0,1200.0
3,Supplier3,Retailer2,110.0,2500.0
3,Supplier2,Retailer3,55.0,1200.0
3,Supplier3,Retailer4,47.0,1550.0
3,Supplier2,Retailer5,50.0,1000.0
3,Supplier2,Retailer6,58.0,1300.0
3,Supplier3,Retailer7,52.0,2000.0
4,Supplier2,Retailer4,50.0,1387.0
1,Supplier2,Retailer4,52.0,1500.0
1,Supplier1,Retailer6,55.0,1500.0
1,Supplier1,Retailer7,105.0,1500.0
1,Supplier2,Retailer9,55.0,1200.0
1,Supplier2,Retailer10,75.0,1200.0
2,Supplier1,Retailer1,95.0,2000.0
2,Supplier3,Retailer1,95.0,1200.0
2,Supplier1,Retailer4,105.0,1500.0
2,Supplier1,Retailer5,100.0,1500.0
2,Supplier2,Retailer6,52.0,2200.0
2,Supplier3,Retailer6,52.0,2200.0
2,Supplier3,Retailer7,88.0,1500.0
2,Supplier1,Retailer8,52.0,1650.0
2,Supplier2,Retailer8,52.0,1200.0
2,Supplier3,Retailer8,52.0,1800.0
3,Supplier2,Retailer1,95.0,1200.0
3,Supplier2,Retailer2,90.0,1195.0
3,Supplier3,Retailer5,80.0,800.0
4,Supplier3,Retailer2,90.0,1195.0
4,Supplier3,Retailer4,100.0,705.0
1,Supplier2,Retailer10,53.0,1000.0
2,Supplier1,Retailer1,46.0,3000.0
2,Supplier1,Retailer4,50.0,2000.0
2,Supplier2,Retailer4,50.0,2000.0
2,Supplier3,Retailer4,50.0,2000.0
2,Supplier1,Retailer6,48.0,2000.0
2,Supplier2,Retailer6,52.0,1600.0
2,Supplier3,Retailer7,100.0,1500.0
2,Supplier2,Retailer8,50.0,1200.0
2,Supplier2,Retailer9,70.0,1500.0
3,Supplier1,Retailer2,108.0,1800.0
3,Supplier1,Retailer3,52.0,700.0
3,Supplier2,Retailer5,95.0,2000.0
4,Supplier2,Retailer1,46.0,237.0
4,Supplier3,Retailer3,52.0,4500.0
4,Supplier3,Retailer6,49.0,1200.0
1,Supplier2,Retailer9,52.0,1400.0
1,Supplier3,Retailer10,58.0,1000.0
2,Supplier1,Retailer1,108.0,2000.0
2,Supplier2,Retailer1,105.0,1200.0
2,Supplier2,Retailer4,60.0,1500.0
2,Supplier3,Retailer4,58.0,1300.0
2,Supplier1,Retailer6,55.0,1200.0
2,Supplier2,Retailer6,52.0,2500.0
2,Supplier1,Retailer7,70.0,1600.0
2,Supplier2,Retailer7,70.0,1600.0
2,Supplier1,Retailer8,51.0,2300.0
2,Supplier2,Retailer8,50.0,1370.0
2,Supplier3,Retailer8,50.0,1370.0
2,Supplier1,Retailer9,50.0,1400.0
2,Supplier1,Retailer10,58.0,1000.0
3,Supplier3,Retailer5,87.0,1800.0
3,Supplier3,Retailer6,52.0,1200.0
4,Supplier3,Retailer3,68.0,1800.0
4,Supplier3,Retailer9,STOCK_EXCEEDED,FAIL
5,Supplier3,Retailer2,STOCK_EXCEEDED,FAIL
6,Supplier3,Retailer7,STOCK_EXCEEDED,FAIL
1,Supplier1,Retailer5,48.0,1800.0
1,Supplier3,Retailer5,48.0,1800.0
1,Supplier1,Retailer6,48.0,1800.0
1,Supplier1,Retailer8,45.0,800.0
2,Supplier1,Retailer3,50.0,2000.0
2,Supplier2,Retailer6,47.0,1600.0
2,Supplier3,Retailer6,48.0,1600.0
2,Supplier3,Retailer7,85.0,1200.0
2,Supplier2,Retailer8,45.0,1000.0
2,Supplier2,Retailer9,50.0,1800.0
