group,name,total bought,highest price
1,Retailer1,2000.0,100.0
1,Retailer2,1886.0,105.0
1,Retailer3,1800.0,100.0
1,Retailer4,4700.0,100.0
1,Retailer5,4200.0,108.0
1,Retailer6,5800.0,105.0
1,Retailer7,1600.0,100.0
1,Retailer8,2376.0,111.0
1,Retailer9,3386.0,100.0
1,Retailer10,1800.0,105.0
1,Retailer1,0.0,0.0
1,Retailer2,3600.0,108.0
1,Retailer3,6090.0,105.0
1,Retailer4,2200.0,109.0
1,Retailer5,4500.0,100.0
1,Retailer6,3500.0,105.0
1,Retailer7,1200.0,98.0
1,Retailer8,3600.0,90.0
1,Retailer9,3700.0,101.0
1,Retailer10,1300.0,105.0
1,Retailer1,2000.0,108.0
1,Retailer2,261.0,110.0
1,Retailer3,3400.0,106.0
1,Retailer4,1200.0,115.0
1,Retailer5,3300.0,104.0
1,Retailer6,2000.0,100.0
1,Retailer7,5000.0,110.0
1,Retailer8,2800.0,108.0
1,Retailer9,5800.0,108.0
1,Retailer10,2800.0,108.0
1,Retailer1,2400.0,85.0
1,Retailer2,2000.0,105.0
1,Retailer3,734.0,104.0
1,Retailer4,0.0,0.0
1,Retailer5,4000.0,108.0
1,Retailer6,2500.0,100.0
1,Retailer7,13500.0,102.0
1,Retailer8,1200.0,105.0
1,Retailer9,0.0,0.0
1,Retailer10,3200.0,110.0
1,Retailer1,4400.0,105.0
1,Retailer2,0.0,0.0
1,Retailer3,3000.0,104.0
1,Retailer4,3500.0,108.0
1,Retailer5,3600.0,95.0
1,Retailer6,3800.0,105.0
1,Retailer7,953.0,108.0
1,Retailer8,3400.0,105.0
1,Retailer9,3300.0,100.0
1,Retailer10,3500.0,110.0
1,Retailer1,3400.0,105.0
1,Retailer2,2600.0,105.0
1,Retailer3,6500.0,100.0
1,Retailer4,2000.0,100.0
1,Retailer5,1200.0,110.0
1,Retailer6,1000.0,75.0
1,Retailer7,6146.0,105.0
1,Retailer8,782.0,108.0
1,Retailer9,6000.0,98.0
1,Retailer10,0.0,0.0
1,Retailer1,2456.0,115.0
1,Retailer2,0.0,0.0
1,Retailer3,0.0,0.0
1,Retailer4,7000.0,110.0
1,Retailer5,1400.0,100.0
1,Retailer6,3400.0,105.0
1,Retailer7,6100.0,100.0
1,Retailer8,2000.0,101.0
1,Retailer9,0.0,0.0
1,Retailer10,7300.0,105.0
1,Retailer1,3600.0,100.0
1,Retailer2,4967.0,100.0
1,Retailer3,8000.0,108.0
1,Retailer4,2667.0,110.0
1,Retailer5,3200.0,105.0
1,Retailer6,0.0,0.0
1,Retailer7,4282.0,105.0
1,Retailer8,0.0,0.0
1,Retailer9,1900.0,105.0
1,Retailer10,1000.0,100.0
1,Retailer1,4200.0,105.0
1,Retailer2,4800.0,110.0
1,Retailer3,4800.0,103.0
1,Retailer4,3600.0,108.0
1,Retailer5,4100.0,108.0
1,Retailer6,3171.0,110.0
1,Retailer7,18.0,103.0
1,Retailer8,0.0,0.0
1,Retailer9,1400.0,104.0
1,Retailer10,3600.0,102.0
1,Retailer1,4700.0,110.0
1,Retailer2,2930.0,115.0
1,Retailer3,2500.0,100.0
1,Retailer4,3600.0,100.0
1,Retailer5,4300.0,105.0
1,Retailer6,2100.0,100.0
1,Retailer7,1000.0,99.0
1,Retailer8,3481.0,105.0
1,Retailer9,3200.0,100.0
1,Retailer10,1800.0,100.0
1,Retailer1,0.0,0.0
1,Retailer2,2800.0,106.0
1,Retailer3,2500.0,108.0
1,Retailer4,3362.0,108.0
1,Retailer5,4550.0,108.0
1,Retailer6,3600.0,107.0
1,Retailer7,3300.0,102.0
1,Retailer8,0.0,0.0
1,Retailer9,4200.0,110.0
1,Retailer10,5300.0,108.0
1,Retailer1,158.0,112.0
1,Retailer2,3400.0,108.0
1,Retailer3,3400.0,108.0
1,Retailer4,2235.0,98.0
1,Retailer5,5400.0,106.0
1,Retailer6,1300.0,101.0
1,Retailer7,3000.0,100.0
1,Retailer8,6400.0,106.0
1,Retailer9,2240.0,105.0
1,Retailer10,2000.0,109.0
1,Retailer1,4000.0,108.0
1,Retailer2,3600.0,105.0
1,Retailer3,4000.0,110.0
1,Retailer4,2000.0,95.0
1,Retailer5,3820.0,105.0
1,Retailer6,0.0,0.0
1,Retailer7,1890.0,108.0
1,Retailer8,3800.0,110.0
1,Retailer9,3300.0,108.0
1,Retailer10,3300.0,107.0
1,Retailer1,1400.0,108.0
1,Retailer2,4100.0,105.0
1,Retailer3,2200.0,105.0
1,Retailer4,1897.0,110.0
1,Retailer5,4400.0,109.0
1,Retailer6,1500.0,100.0
1,Retailer7,4960.0,105.0
1,Retailer8,4000.0,100.0
1,Retailer9,5000.0,100.0
